ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,844264090.177134,1242,1000
1024,843584875.301690,1243,1000
1024,846308313.155771,1239,1000
1024,828913833.992095,1265,1000
1024,844944399.677679,1241,1000
1024,845625806.451613,1240,1000
1024,842906752.411576,1244,1000
1024,846308313.155771,1239,1000
1024,846308313.155771,1239,1000
1024,846991922.455574,1238,1000
1024,843584875.301690,1243,1000
1024,842906752.411576,1244,1000
1024,845625806.451613,1240,1000
1024,842906752.411576,1244,1000
1024,843584875.301690,1243,1000
1024,841553772.070626,1246,1000
1024,846308313.155771,1239,1000
1024,843584875.301690,1243,1000
1024,842229718.875502,1245,1000
1024,844264090.177134,1242,1000
1497,782781808.891160,1957,1000
1497,804571428.571429,1904,1000
1497,803727177.334732,1906,1000
1497,804571428.571429,1904,1000
1497,803305715.783954,1907,1000
1497,794968344.577063,1927,1000
1497,805417455.310200,1902,1000
1497,795794285.714286,1925,1000
1497,804994219.653179,1903,1000
1497,804571428.571429,1904,1000
1497,802043979.057592,1910,1000
1497,796207900.207900,1924,1000
1497,804994219.653179,1903,1000
1497,805417455.310200,1902,1000
1497,779991853.360489,1964,1000
1497,804571428.571429,1904,1000
1497,803305715.783954,1907,1000
1497,801205020.920502,1912,1000
1497,803305715.783954,1907,1000
1497,794556016.597510,1928,1000
2190,781755757.152826,1433,1000
2190,782301675.977654,1432,1000
2190,780122562.674095,1436,1000
2190,778496177.901320,1439,1000
2190,777415683.553088,1441,1000
2190,779037552.155772,1438,1000
2190,780122562.674095,1436,1000
2190,770464924.346630,1454,1000
2190,777415683.553088,1441,1000
2190,780666202.090592,1435,1000
2190,781755757.152826,1433,1000
2190,767824537.354352,1459,1000
2190,780122562.674095,1436,1000
2190,779579679.888657,1437,1000
2190,782301675.977654,1432,1000
2190,780666202.090592,1435,1000
2190,782301675.977654,1432,1000
2190,780122562.674095,1436,1000
2190,780666202.090592,1435,1000
2190,777415683.553088,1441,1000
3202,762756052.141527,1074,1000
3202,762756052.141527,1074,1000
3202,761338289.962825,1076,1000
3202,763466915.191053,1073,1000
3202,749496797.804209,1093,1000
3202,756417359.187442,1083,1000
3202,762046511.627907,1075,1000
3202,761338289.962825,1076,1000
3202,738018018.018018,1110,1000
3202,760631383.472609,1077,1000
3202,761338289.962825,1076,1000
3202,760631383.472609,1077,1000
3202,763466915.191053,1073,1000
3202,760631383.472609,1077,1000
3202,763466915.191053,1073,1000
3202,763466915.191053,1073,1000
3202,762046511.627907,1075,1000
3202,762756052.141527,1074,1000
3202,762756052.141527,1074,1000
3202,762756052.141527,1074,1000
4684,754153459.119497,1590,1000
4684,753206030.150754,1592,1000
4684,748037429.819089,1603,1000
4684,753679446.888749,1591,1000
4684,751318295.739348,1596,1000
4684,748504369.538077,1602,1000
4684,751789341.692790,1595,1000
4684,749908692.933083,1599,1000
4684,751789341.692790,1595,1000
4684,749440000.000000,1600,1000
4684,742019801.980198,1616,1000
4684,740644842.495368,1619,1000
4684,750847839.699437,1597,1000
4684,744785093.167702,1610,1000
4684,750847839.699437,1597,1000
4684,749908692.933083,1599,1000
4684,753679446.888749,1591,1000
4684,749908692.933083,1599,1000
4684,750377972.465582,1598,1000
4684,750377972.465582,1598,1000
6850,744727272.727273,1177,1000
6850,740950126.796281,1183,1000
6850,744095076.400679,1178,1000
6850,741576988.155668,1182,1000
6850,739075885.328836,1186,1000
6850,744727272.727273,1177,1000
6850,732284043.441938,1197,1000
6850,744727272.727273,1177,1000
6850,744727272.727273,1177,1000
6850,744727272.727273,1177,1000
6850,744095076.400679,1178,1000
6850,725015715.467328,1209,1000
6850,744095076.400679,1178,1000
6850,744727272.727273,1177,1000
6850,731062552.126772,1199,1000
6850,729237936.772047,1202,1000
6850,741576988.155668,1182,1000
6850,743463952.502120,1179,1000
6850,744727272.727273,1177,1000
6850,743463952.502120,1179,1000
10018,727196823.596143,1763,1000
10018,737232892.466935,1739,1000
10018,738932564.841499,1735,1000
10018,738932564.841499,1735,1000
10018,740640092.432120,1731,1000
10018,738506912.442396,1736,1000
10018,736385985.066054,1741,1000
10018,740212471.131640,1732,1000
10018,738932564.841499,1735,1000
10018,736385985.066054,1741,1000
10018,730511680.911681,1755,1000
10018,740640092.432120,1731,1000
10018,738506912.442396,1736,1000
10018,738506912.442396,1736,1000
10018,738506912.442396,1736,1000
10018,739358708.189158,1734,1000
10018,737657077.100115,1738,1000
10018,740640092.432120,1731,1000
10018,738506912.442396,1736,1000
10018,739358708.189158,1734,1000
14650,735849293.563579,1274,1000
14650,734695924.764890,1276,1000
14650,734120595.144871,1277,1000
14650,731257410.296412,1282,1000
14650,733546165.884194,1278,1000
14650,737006289.308176,1272,1000
14650,736427336.999214,1273,1000
14650,736427336.999214,1273,1000
14650,731257410.296412,1282,1000
14650,736427336.999214,1273,1000
14650,730118380.062305,1284,1000
14650,731828259.172521,1281,1000
14650,734695924.764890,1276,1000
14650,736427336.999214,1273,1000
14650,737006289.308176,1272,1000
14650,735272156.862745,1275,1000
14650,735849293.563579,1274,1000
14650,737006289.308176,1272,1000
14650,736427336.999214,1273,1000
14650,737006289.308176,1272,1000
21426,725468783.068783,1890,1000
21426,732444444.444444,1872,1000
21426,732053390.282968,1873,1000
21426,734405998.928763,1867,1000
21426,734405998.928763,1867,1000
21426,716746471.510716,1913,1000
21426,733227807.486631,1870,1000
21426,726237288.135593,1888,1000
21426,732053390.282968,1873,1000
21426,732444444.444444,1872,1000
21426,734012847.965739,1868,1000
21426,733620117.710005,1869,1000
21426,731662753.468517,1874,1000
21426,732444444.444444,1872,1000
21426,724701902.748414,1892,1000
21426,732835916.622127,1871,1000
21426,733620117.710005,1869,1000
21426,734799571.275455,1866,1000
21426,733620117.710005,1869,1000
21426,732835916.622127,1871,1000
31334,732376917.457999,1369,1000
31334,730243262.927895,1373,1000
31334,732376917.457999,1369,1000
31334,730243262.927895,1373,1000
31334,732912280.701754,1368,1000
31334,730243262.927895,1373,1000
31334,730243262.927895,1373,1000
31334,727065989.847716,1379,1000
31334,732376917.457999,1369,1000
31334,730243262.927895,1373,1000
31334,732912280.701754,1368,1000
31334,731842335.766423,1370,1000
31334,733448427.212875,1367,1000
31334,730775510.204082,1372,1000
31334,732376917.457999,1369,1000
31334,732912280.701754,1368,1000
31334,732376917.457999,1369,1000
31334,730775510.204082,1372,1000
31334,733448427.212875,1367,1000
31334,731308533.916849,1371,1000
45825,728811133.200795,1006,1000
45825,730991026.919242,1003,1000
45825,731720558.882236,1002,1000
45825,731720558.882236,1002,1000
45825,728811133.200795,1006,1000
45825,728811133.200795,1006,1000
45825,730262948.207171,1004,1000
45825,729536318.407960,1005,1000
45825,730262948.207171,1004,1000
45825,730991026.919242,1003,1000
45825,730991026.919242,1003,1000
45825,730991026.919242,1003,1000
45825,730991026.919242,1003,1000
45825,730262948.207171,1004,1000
45825,729536318.407960,1005,1000
45825,730262948.207171,1004,1000
45825,729536318.407960,1005,1000
45825,731720558.882236,1002,1000
45825,730991026.919242,1003,1000
45825,731720558.882236,1002,1000
67017,731416098.226467,1466,1000
67017,725477672.530447,1478,1000
67017,731416098.226467,1466,1000
67017,729425850.340136,1470,1000
67017,731915358.361775,1465,1000
67017,727446404.341927,1474,1000
67017,717708165.997323,1494,1000
67017,728929979.605710,1471,1000
67017,728929979.605710,1471,1000
67017,728434782.608696,1472,1000
67017,728434782.608696,1472,1000
67017,731416098.226467,1466,1000
67017,729425850.340136,1470,1000
67017,730917518.745740,1467,1000
67017,729425850.340136,1470,1000
67017,704042022.324360,1523,1000
67017,728929979.605710,1471,1000
67017,719152246.814219,1491,1000
67017,731416098.226467,1466,1000
67017,731915358.361775,1465,1000
98010,710846781.504986,1103,1000
98010,730721342.031687,1073,1000
98010,729361860.465116,1075,1000
98010,729361860.465116,1075,1000
98010,728684014.869889,1076,1000
98010,730040968.342644,1074,1000
98010,728007428.040854,1077,1000
98010,728684014.869889,1076,1000
98010,730040968.342644,1074,1000
98010,728684014.869889,1076,1000
98010,730721342.031687,1073,1000
98010,728007428.040854,1077,1000
98010,727332096.474954,1078,1000
98010,729361860.465116,1075,1000
98010,728684014.869889,1076,1000
98010,730040968.342644,1074,1000
98010,727332096.474954,1078,1000
98010,715386861.313869,1096,1000
98010,730040968.342644,1074,1000
98010,730040968.342644,1074,1000
143335,728961220.597584,1573,1000
143335,729424936.386768,1572,1000
143335,727573604.060914,1576,1000
143335,726191260.291324,1579,1000
143335,728961220.597584,1573,1000
143335,730354140.127388,1570,1000
143335,728961220.597584,1573,1000
143335,728498094.027954,1574,1000
143335,718906583.072100,1595,1000
143335,726191260.291324,1579,1000
143335,728035555.555556,1575,1000
143335,730819630.337795,1569,1000
143335,729889242.520687,1571,1000
143335,729889242.520687,1571,1000
143335,728035555.555556,1575,1000
143335,728035555.555556,1575,1000
143335,728961220.597584,1573,1000
143335,729889242.520687,1571,1000
143335,728035555.555556,1575,1000
143335,728035555.555556,1575,1000
209620,726585788.561525,1154,1000
209620,729113043.478261,1150,1000
209620,729747606.614447,1149,1000
209620,729747606.614447,1149,1000
209620,726585788.561525,1154,1000
209620,729747606.614447,1149,1000
209620,729113043.478261,1150,1000
209620,729747606.614447,1149,1000
209620,727847222.222222,1152,1000
209620,729113043.478261,1150,1000
209620,729113043.478261,1150,1000
209620,727847222.222222,1152,1000
209620,726585788.561525,1154,1000
209620,729113043.478261,1150,1000
209620,728479582.971329,1151,1000
209620,728479582.971329,1151,1000
209620,703422818.791946,1192,1000
209620,727215958.369471,1153,1000
209620,729747606.614447,1149,1000
209620,708175675.675676,1184,1000
306559,726436018.957346,1688,1000
306559,729461035.098156,1681,1000
306559,726866627.148785,1687,1000
306559,729027348.394768,1682,1000
306559,729461035.098156,1681,1000
306559,727729376.854599,1685,1000
306559,725147250.147841,1691,1000
306559,719615023.474178,1704,1000
306559,726005920.663114,1689,1000
306559,729895238.095238,1680,1000
306559,727729376.854599,1685,1000
306559,726866627.148785,1687,1000
306559,729027348.394768,1682,1000
306559,726866627.148785,1687,1000
306559,725576331.360947,1690,1000
306559,725147250.147841,1691,1000
306559,726866627.148785,1687,1000
306559,729895238.095238,1680,1000
306559,728161520.190024,1684,1000
306559,725576331.360947,1690,1000
448328,728396425.670187,1231,1000
448328,729581773.799837,1229,1000
448328,728396425.670187,1231,1000
448328,716751398.880895,1251,1000
448328,692398455.598456,1295,1000
448328,728988617.886179,1230,1000
448328,712196981.731533,1259,1000
448328,717324800.000000,1250,1000
448328,727214922.952149,1233,1000
448328,725449838.187702,1236,1000
448328,728396425.670187,1231,1000
448328,727805194.805195,1232,1000
448328,728396425.670187,1231,1000
448328,728988617.886179,1230,1000
448328,727805194.805195,1232,1000
448328,729581773.799837,1229,1000
448328,728396425.670187,1231,1000
448328,726037246.963563,1235,1000
448328,724863379.143088,1237,1000
448328,728396425.670187,1231,1000
655657,728506666.666667,1800,1000
655657,729722871.452421,1797,1000
655657,729317018.909900,1798,1000
655657,726891352.549889,1804,1000
655657,728506666.666667,1800,1000
655657,719315414.152496,1823,1000
655657,726891352.549889,1804,1000
655657,723682119.205298,1812,1000
655657,726891352.549889,1804,1000
655657,727698113.207547,1802,1000
655657,709584415.584416,1848,1000
655657,726488642.659280,1805,1000
655657,724882255.389718,1809,1000
655657,727294509.151414,1803,1000
655657,728102165.463631,1801,1000
655657,729317018.909900,1798,1000
655657,718133625.410734,1826,1000
655657,728506666.666667,1800,1000
655657,728102165.463631,1801,1000
655657,726891352.549889,1804,1000
958866,729729071.537291,1314,1000
958866,728620060.790274,1316,1000
958866,728066818.526955,1317,1000
958866,713971705.137751,1343,1000
958866,724764928.193500,1323,1000
958866,727514415.781487,1318,1000
958866,729174144.486692,1315,1000
958866,725862225.586677,1321,1000
958866,729174144.486692,1315,1000
958866,729729071.537291,1314,1000
958866,696342774.146696,1377,1000
958866,724217522.658610,1324,1000
958866,728620060.790274,1316,1000
958866,728620060.790274,1316,1000
