ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,832394138.040101,1289944,1000000
1024,832720785.334386,1289438,1000000
1024,832730472.467142,1289423,1000000
1024,832460608.710686,1289841,1000000
1024,832700765.974211,1289469,1000000
1024,832731764.101872,1289421,1000000
1024,832501270.761325,1289778,1000000
1024,832745972.348358,1289399,1000000
1024,832718202.137048,1289442,1000000
1024,832711098.427007,1289453,1000000
1024,832727889.209703,1289427,1000000
1024,832459317.916987,1289843,1000000
1024,832550328.680579,1289702,1000000
1024,832430921.468315,1289887,1000000
1024,832496107.106140,1289786,1000000
1024,832743388.994752,1289403,1000000
1024,831995536.828142,1290562,1000000
1024,832710452.641195,1289454,1000000
1024,832429630.766678,1289889,1000000
1024,832370262.817824,1289981,1000000
1497,796885799.339599,1968500,1000000
1497,797193985.584470,1967739,1000000
1497,797227612.956736,1967656,1000000
1497,797286771.604719,1967510,1000000
1497,796990256.279462,1968242,1000000
1497,797235311.187988,1967637,1000000
1497,797189124.030429,1967751,1000000
1497,797208165.455780,1967704,1000000
1497,797226397.460129,1967659,1000000
1497,797228018.123096,1967655,1000000
1497,797199252.334929,1967726,1000000
1497,795477499.068198,1971985,1000000
1497,797234095.667907,1967640,1000000
1497,797033585.602614,1968135,1000000
1497,796900777.916578,1968463,1000000
1497,797247061.406540,1967608,1000000
1497,797182642.050609,1967767,1000000
1497,797248682.153523,1967604,1000000
1497,797236121.536769,1967635,1000000
1497,797192770.190401,1967742,1000000
2190,774539212.350040,1481064,1000000
2190,774581051.517099,1480984,1000000
2190,774537643.469202,1481067,1000000
2190,774537643.469202,1481067,1000000
2190,774523523.827657,1481094,1000000
2190,774513588.092198,1481113,1000000
2190,774308132.400409,1481506,1000000
2190,774262664.577924,1481593,1000000
2190,774259529.062857,1481599,1000000
2190,751927037.374730,1525603,1000000
2190,774539735.311732,1481063,1000000
2190,774547056.849571,1481049,1000000
2190,774046373.600125,1482007,1000000
2190,774566407.294472,1481012,1000000
2190,774566930.292888,1481011,1000000
2190,774562746.325334,1481019,1000000
2190,774577390.409530,1480991,1000000
2190,774538689.389054,1481065,1000000
2190,774563792.312985,1481017,1000000
2190,774586281.730807,1480974,1000000
3202,744760332.045989,1126350,1000000
3202,759796387.877470,1104060,1000000
3202,759594803.473165,1104353,1000000
3202,744900536.168747,1126138,1000000
3202,759581735.139971,1104372,1000000
3202,744622163.597290,1126559,1000000
3202,759778495.515748,1104086,1000000
3202,759766797.119472,1104103,1000000
3202,759570730.576573,1104388,1000000
3202,759378202.319611,1104668,1000000
3202,759801205.195765,1104053,1000000
3202,759804646.174804,1104048,1000000
3202,759792258.796123,1104066,1000000
3202,759650520.886159,1104272,1000000
3202,759827357.418151,1104015,1000000
3202,759795011.512035,1104062,1000000
3202,759797764.247893,1104058,1000000
3202,759738584.822270,1104144,1000000
3202,759807398.980475,1104044,1000000
3202,759813592.866168,1104035,1000000
4684,749982437.248620,1637215,1000000
4684,749981521.081201,1637217,1000000
4684,749994347.628771,1637189,1000000
4684,740037316.396831,1659217,1000000
4684,749976024.123687,1637229,1000000
4684,740034194.298057,1659224,1000000
4684,750010839.548900,1637153,1000000
4684,749996180.028525,1637185,1000000
4684,749375051.722812,1638542,1000000
4684,749987018.119295,1637205,1000000
4684,749735611.086891,1637754,1000000
4684,749985643.852217,1637208,1000000
4684,740048912.994345,1659191,1000000
4684,749999386.749639,1637178,1000000
4684,749959075.678601,1637266,1000000
4684,750017711.396351,1637138,1000000
4684,749968236.905144,1637246,1000000
4684,749951288.812014,1637283,1000000
4684,749995263.827529,1637187,1000000
4684,749708602.874687,1637813,1000000
6850,743460873.469002,1207301,1000000
6850,743477500.550828,1207274,1000000
6850,742547527.850256,1208786,1000000
6850,743475653.060565,1207277,1000000
6850,743443631.354834,1207329,1000000
6850,743446710.245137,1207324,1000000
6850,743409765.244529,1207384,1000000
6850,743428853.036353,1207353,1000000
6850,743459641.862896,1207303,1000000
6850,743069428.289720,1207937,1000000
6850,743196171.995254,1207731,1000000
6850,743061431.350635,1207950,1000000
6850,743422079.836735,1207364,1000000
6850,743462105.079189,1207299,1000000
6850,743479348.050272,1207271,1000000
6850,736746980.020570,1218303,1000000
6850,743474421.405491,1207279,1000000
6850,743474421.405491,1207279,1000000
6850,743461489.273586,1207300,1000000
6850,743441168.260952,1207333,1000000
10018,738865192.632606,1776802,1000000
10018,739116861.474262,1776197,1000000
10018,738673540.156972,1777263,1000000
10018,739131426.074874,1776162,1000000
10018,739136003.639330,1776151,1000000
10018,739096471.997685,1776246,1000000
10018,739135587.494764,1776152,1000000
10018,739052784.049999,1776351,1000000
10018,739149736.672901,1776118,1000000
10018,739129761.520038,1776166,1000000
10018,739129761.520038,1776166,1000000
10018,739156811.465114,1776101,1000000
10018,738878915.604673,1776769,1000000
10018,739138500.516568,1776145,1000000
10018,738839827.268619,1776863,1000000
10018,739155146.795938,1776105,1000000
10018,739148072.035592,1776122,1000000
10018,738868519.366905,1776794,1000000
10018,739113532.503286,1776205,1000000
10018,739146407.405781,1776126,1000000
14650,735939553.026029,1304416,1000000
14650,736246036.232056,1303873,1000000
14650,736228532.161877,1303904,1000000
14650,736231355.342707,1303899,1000000
14650,736235872.477071,1303891,1000000
14650,736201995.320376,1303951,1000000
14650,736207641.296654,1303941,1000000
14650,736214416.582498,1303929,1000000
14650,736245471.571640,1303874,1000000
14650,736231919.981471,1303898,1000000
14650,736217804.272185,1303923,1000000
14650,736253376.896293,1303860,1000000
14650,736003312.113826,1304303,1000000
14650,736223450.490945,1303913,1000000
14650,735991462.244044,1304324,1000000
14650,735941245.602428,1304413,1000000
14650,736212158.140027,1303933,1000000
14650,735957043.357598,1304385,1000000
14650,736239825.015109,1303884,1000000
14650,735996540.712941,1304315,1000000
21426,734009778.130947,1912840,1000000
