ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,832731764.101872,1289421,1000000
1024,831201408.892278,1291795,1000000
1024,832707869.507964,1289458,1000000
1024,832803456.112184,1289310,1000000
1024,832727889.209703,1289427,1000000
1024,832713681.580272,1289449,1000000
1024,832703349.063371,1289465,1000000
1024,832738868.164509,1289410,1000000
1024,832707869.507964,1289458,1000000
1024,832442537.963158,1289869,1000000
1024,832707223.727160,1289459,1000000
1024,832694308.321423,1289479,1000000
1024,832716910.544390,1289444,1000000
1024,832701411.744999,1289468,1000000
1024,832354131.686209,1290006,1000000
1024,832510952.787450,1289763,1000000
1024,832719493.733714,1289440,1000000
1024,832709806.856385,1289455,1000000
1024,832742097.323960,1289405,1000000
1024,832729180.836419,1289425,1000000
1497,797228018.123096,1967655,1000000
1497,797037635.312798,1968125,1000000
1497,797214647.850675,1967688,1000000
1497,797012527.773022,1968187,1000000
1497,797217889.087656,1967680,1000000
1497,797115802.781803,1967932,1000000
1497,797200872.887532,1967722,1000000
1497,797228018.123096,1967655,1000000
1497,797212622.090946,1967693,1000000
1497,797206544.873528,1967708,1000000
1497,797197631.788914,1967730,1000000
1497,797229638.792652,1967651,1000000
1497,797206139.728994,1967709,1000000
1497,797009288.205691,1968195,1000000
1497,796808486.451150,1968691,1000000
1497,797204519.154978,1967713,1000000
1497,797210596.341512,1967698,1000000
1497,797217483.931593,1967681,1000000
1497,797208570.602372,1967703,1000000
1497,797105676.597609,1967957,1000000
2190,774512542.240137,1481115,1000000
2190,774505221.354791,1481129,1000000
2190,774547056.849571,1481049,1000000
2190,774565361.299758,1481014,1000000
2190,774575821.374023,1480994,1000000
2190,774558562.402981,1481027,1000000
2190,774542350.130785,1481058,1000000
2190,774542873.096714,1481057,1000000
2190,774524046.768164,1481093,1000000
2190,774525092.651296,1481091,1000000
2190,774560654.358508,1481023,1000000
2190,774472279.083333,1481192,1000000
2190,774563269.318806,1481018,1000000
2190,774550717.670397,1481042,1000000
2190,774488488.422258,1481161,1000000
2190,774569022.293615,1481007,1000000
2190,774541304.201045,1481060,1000000
2190,774502606.786422,1481134,1000000
2190,774561177.349155,1481022,1000000
2190,774528230.317639,1481085,1000000
3202,759789506.100157,1104070,1000000
3202,759607872.256039,1104334,1000000
3202,759761292.116463,1104111,1000000
3202,759453139.216647,1104559,1000000
3202,759801893.389079,1104052,1000000
3202,759772302.202256,1104095,1000000
3202,759784688.930210,1104077,1000000
3202,759790882.445646,1104068,1000000
3202,759611311.484168,1104329,1000000
3202,759803957.976503,1104049,1000000
3202,759759227.760901,1104114,1000000
3202,759450388.977360,1104563,1000000
3202,759776431.066698,1104089,1000000
3202,759789506.100157,1104070,1000000
3202,759528778.603629,1104449,1000000
3202,759441450.837244,1104576,1000000
3202,759541157.392359,1104431,1000000
3202,759488206.513669,1104508,1000000
3202,759790882.445646,1104068,1000000
3202,759632635.393707,1104298,1000000
4684,749939837.831367,1637308,1000000
4684,749976940.277677,1637227,1000000
4684,749971901.458432,1637238,1000000
4684,750015420.766543,1637143,1000000
4684,749766283.789271,1637687,1000000
4684,749995721.927747,1637186,1000000
4684,749959533.734612,1637265,1000000
4684,749960449.848314,1637263,1000000
4684,749971901.458432,1637238,1000000
4684,749911898.906111,1637369,1000000
4684,749719131.268355,1637790,1000000
4684,749978772.592371,1637223,1000000
4684,749760332.173170,1637700,1000000
4684,749952204.905572,1637281,1000000
4684,750002135.389562,1637172,1000000
4684,749906860.960803,1637380,1000000
4684,749999386.749639,1637178,1000000
4684,749904571.008040,1637385,1000000
4684,749926097.116173,1637338,1000000
4684,749958617.623149,1637267,1000000
6850,743445478.685956,1207326,1000000
6850,743439320.951251,1207336,1000000
6850,743483658.918016,1207264,1000000
6850,743478732.216104,1207272,1000000
6850,743441168.260952,1207333,1000000
6850,743111261.237767,1207869,1000000
6850,743463952.502120,1207296,1000000
6850,743462720.885813,1207298,1000000
6850,743191249.102662,1207739,1000000
6850,743438089.416551,1207338,1000000
6850,743453483.893572,1207313,1000000
6850,743451020.734405,1207317,1000000
6850,743420848.359155,1207366,1000000
6850,743435626.359391,1207342,1000000
6850,743459026.061373,1207304,1000000
6850,743436857.885931,1207340,1000000
6850,743459026.061373,1207304,1000000
6850,743465799.934233,1207293,1000000
6850,743244789.061750,1207652,1000000
6850,743435626.359391,1207342,1000000
10018,734583708.883042,1787158,1000000
10018,739117277.597743,1776196,1000000
10018,738887648.670492,1776748,1000000
10018,739165134.923463,1776081,1000000
10018,739121854.986952,1776185,1000000
10018,739146823.562531,1776125,1000000
10018,739121438.858318,1776186,1000000
10018,738288872.555167,1778189,1000000
10018,739131426.074874,1776162,1000000
10018,738776213.607531,1777016,1000000
10018,739136835.929868,1776149,1000000
10018,739146407.405781,1776126,1000000
10018,739113948.623019,1776204,1000000
10018,739116445.351250,1776198,1000000
10018,739135587.494764,1776152,1000000
10018,739116861.474262,1776197,1000000
10018,739137252.075840,1776148,1000000
10018,738957936.573606,1776579,1000000
10018,739126432.432858,1776174,1000000
10018,739131842.214754,1776161,1000000
14650,736198043.188508,1303958,1000000
14650,736221756.616224,1303916,1000000
14650,736214416.582498,1303929,1000000
14650,736156266.103899,1304032,1000000
14650,733056032.353173,1309547,1000000
14650,736190139.052066,1303972,1000000
14650,735892164.047528,1304500,1000000
14650,736192961.938454,1303967,1000000
14650,736204818.297690,1303946,1000000
14650,736215545.808929,1303927,1000000
14650,736165298.585293,1304016,1000000
14650,736176024.944843,1303997,1000000
14650,736202559.914107,1303950,1000000
14650,736238131.065039,1303887,1000000
14650,736241518.972974,1303881,1000000
14650,736243777.595586,1303877,1000000
14650,736212158.140027,1303933,1000000
14650,736246036.232056,1303873,1000000
14650,736230226.067777,1303901,1000000
14650,736200301.544380,1303954,1000000
21426,734165988.560122,1912433,1000000
21426,734152936.495113,1912467,1000000
21426,733252697.519081,1914815,1000000
21426,733977162.722010,1912925,1000000
21426,733959896.914222,1912970,1000000
21426,734188638.833199,1912374,1000000
21426,734178273.280552,1912401,1000000
21426,734115702.271924,1912564,1000000
21426,734121459.894622,1912549,1000000
21426,734161765.782423,1912444,1000000
21426,734156007.527482,1912459,1000000
21426,734075017.645490,1912670,1000000
21426,734174050.361533,1912412,1000000
21426,734088450.749882,1912635,1000000
21426,734190942.329091,1912368,1000000
21426,734076936.630304,1912665,1000000
21426,734122995.275928,1912545,1000000
21426,734009778.130947,1912840,1000000
21426,733891992.617400,1913147,1000000
21426,734156775.289588,1912457,1000000
31334,732859441.529324,1400933,1000000
31334,732684237.419252,1401268,1000000
31334,732840609.606637,1400969,1000000
31334,732875658.682763,1400902,1000000
31334,732839040.323433,1400972,1000000
31334,732854210.342605,1400943,1000000
31334,732797718.284345,1401051,1000000
31334,732825963.224761,1400997,1000000
31334,732884552.265175,1400885,1000000
31334,732871996.682154,1400909,1000000
31334,732881936.483236,1400890,1000000
31334,732808179.119520,1401031,1000000
31334,732852117.888828,1400947,1000000
31334,732760584.731380,1401122,1000000
31334,732866242.183708,1400920,1000000
31334,732837994.138364,1400974,1000000
31334,732852117.888828,1400947,1000000
31334,732838517.230525,1400973,1000000
31334,732835901.777187,1400978,1000000
31334,732665937.345456,1401303,1000000
45825,731594354.064654,1026225,1000000
45825,731458928.406151,1026415,1000000
45825,731726264.083272,1026040,1000000
45825,731702017.593273,1026074,1000000
45825,731719132.595877,1026050,1000000
45825,731720558.882236,1026048,1000000
45825,731709148.747057,1026064,1000000
45825,731650677.388988,1026146,1000000
45825,731701304.485540,1026075,1000000
45825,731742667.031833,1026017,1000000
45825,731672068.265186,1026116,1000000
45825,731642834.381094,1026157,1000000
45825,731479595.395884,1026386,1000000
45825,731697738.967722,1026080,1000000
45825,731712001.247490,1026060,1000000
45825,731699165.170679,1026078,1000000
45825,731264430.868969,1026688,1000000
45825,731711288.120297,1026061,1000000
45825,731658520.565033,1026135,1000000
45825,731715566.904308,1026055,1000000
67017,730735103.485132,1502583,1000000
67017,730812922.858609,1502423,1000000
67017,731120471.490374,1501791,1000000
67017,730947200.240722,1502147,1000000
67017,730778388.466110,1502494,1000000
67017,730838704.180728,1502370,1000000
67017,730787629.744255,1502475,1000000
67017,730861568.384429,1502323,1000000
67017,731064490.054637,1501906,1000000
67017,731149682.599613,1501731,1000000
67017,730891731.862839,1502261,1000000
67017,730762338.380608,1502527,1000000
67017,731098077.887281,1501837,1000000
67017,730891245.335368,1502262,1000000
67017,730772551.989809,1502506,1000000
67017,730959852.102460,1502121,1000000
67017,730591181.325975,1502879,1000000
67017,731123879.332847,1501784,1000000
67017,731147735.119712,1501735,1000000
67017,730690851.109422,1502674,1000000
98010,730680776.437847,1098813,1000000
98010,730585032.899376,1098957,1000000
98010,730652183.725620,1098856,1000000
98010,730554453.445532,1099003,1000000
98010,730688091.212065,1098802,1000000
98010,730719346.897170,1098755,1000000
98010,730729987.740492,1098739,1000000
98010,730698731.145100,1098786,1000000
98010,730716686.734762,1098759,1000000
98010,730664817.438801,1098837,1000000
98010,730718681.854752,1098756,1000000
98010,730672796.851182,1098825,1000000
98010,730679446.494633,1098815,1000000
98010,730531852.885754,1099037,1000000
98010,730280017.754881,1099416,1000000
98010,730406245.849352,1099226,1000000
98010,730721342.031687,1098752,1000000
98010,730710701.440158,1098768,1000000
98010,728877840.024475,1101531,1000000
98010,730714691.625666,1098762,1000000
143335,730391848.205738,1607597,1000000
143335,729936885.451253,1608599,1000000
143335,730388213.522600,1607605,1000000
143335,730249214.042319,1607911,1000000
143335,730383215.892352,1607616,1000000
143335,729969558.484253,1608527,1000000
143335,730127519.386834,1608179,1000000
143335,730438647.982512,1607494,1000000
143335,730409113.444670,1607559,1000000
143335,730368677.720496,1607648,1000000
143335,730322795.411473,1607749,1000000
143335,730390485.195322,1607600,1000000
143335,729159495.601479,1610314,1000000
143335,730201530.333032,1608016,1000000
143335,730271468.571308,1607862,1000000
143335,730351868.680743,1607685,1000000
143335,730415020.161165,1607546,1000000
143335,730417746.370230,1607540,1000000
143335,730356865.882013,1607674,1000000
143335,730360500.253162,1607666,1000000
209620,729926276.558122,1176288,1000000
209620,729888425.968824,1176349,1000000
209620,730050404.391508,1176088,1000000
209620,730052887.378793,1176084,1000000
209620,730006954.847903,1176158,1000000
209620,730037368.985358,1176109,1000000
209620,730041093.339614,1176103,1000000
209620,729946134.174873,1176256,1000000
209620,730062198.731537,1176069,1000000
209620,730043576.263563,1176099,1000000
209620,729781100.565905,1176522,1000000
209620,730064061.030588,1176066,1000000
209620,730069027.207842,1176058,1000000
209620,729913245.584281,1176309,1000000
209620,730080822.149606,1176039,1000000
209620,730041714.069018,1176102,1000000
209620,730041714.069018,1176102,1000000
209620,729909522.534355,1176315,1000000
209620,730017506.404419,1176141,1000000
209620,729441341.636436,1177070,1000000
306559,729720477.099281,1720732,1000000
306559,729476291.285464,1721308,1000000
306559,729599635.564320,1721017,1000000
306559,729620832.938691,1720967,1000000
306559,729645423.436103,1720909,1000000
306559,729578015.511299,1721068,1000000
306559,729712419.751608,1720751,1000000
306559,729656871.302042,1720882,1000000
306559,729640335.610990,1720921,1000000
306559,729709027.237399,1720759,1000000
306559,729414422.923877,1721454,1000000
306559,729732775.499316,1720703,1000000
306559,729723445.640646,1720725,1000000
306559,729558092.283200,1721115,1000000
306559,729719628.949041,1720734,1000000
306559,729639063.665798,1720924,1000000
306559,729651783.317276,1720894,1000000
306559,729614049.644883,1720983,1000000
306559,729592004.811058,1721035,1000000
306559,729425439.809275,1721428,1000000
448328,729609601.668086,1258448,1000000
448328,729396888.343402,1258815,1000000
448328,729502939.699610,1258632,1000000
448328,729506417.315390,1258626,1000000
448328,729579454.906635,1258500,1000000
448328,729549890.310365,1258551,1000000
448328,729390514.654130,1258826,1000000
448328,729194143.738112,1259165,1000000
448328,729524965.159535,1258594,1000000
448328,729512213.415371,1258616,1000000
448328,729490188.725416,1258654,1000000
448328,729502360.100204,1258633,1000000
448328,729559165.219879,1258535,1000000
448328,729530181.910638,1258585,1000000
448328,729436871.298896,1258746,1000000
448328,729527863.345381,1258589,1000000
448328,729516850.361669,1258608,1000000
448328,729525544.794862,1258593,1000000
448328,729497723.338108,1258641,1000000
448328,729537137.694834,1258573,1000000
655657,729025195.329360,1841889,1000000
655657,729524248.504180,1840629,1000000
655657,729506017.086123,1840675,1000000
655657,729484219.847561,1840730,1000000
655657,729457668.607674,1840797,1000000
655657,729396647.710884,1840951,1000000
655657,729493334.897949,1840707,1000000
655657,729502053.854951,1840685,1000000
655657,729442610.554449,1840835,1000000
655657,729494523.834359,1840704,1000000
655657,729454498.439541,1840805,1000000
655657,729478671.667543,1840744,1000000
655657,729438251.760332,1840846,1000000
655657,729445780.619254,1840827,1000000
655657,729447761.923749,1840822,1000000
655657,729513151.010753,1840657,1000000
655657,729462423.911538,1840785,1000000
655657,729479860.556157,1840741,1000000
655657,729489371.804574,1840717,1000000
655657,729455687.249362,1840802,1000000
958866,729219634.067002,1346476,1000000
958866,729463424.926413,1346026,1000000
958866,729423323.675804,1346100,1000000
958866,729473721.904864,1346007,1000000
958866,729439038.505398,1346071,1000000
958866,729488896.929298,1345979,1000000
958866,729480767.373406,1345994,1000000
958866,729357762.209920,1346221,1000000
958866,729449876.713438,1346051,1000000
958866,729444999.479964,1346060,1000000
958866,729462341.050855,1346028,1000000
958866,729476973.642664,1346001,1000000
958866,729453128.238655,1346045,1000000
958866,729442289.933993,1346065,1000000
958866,729472637.998706,1346009,1000000
958866,729311713.681734,1346306,1000000
958866,729462341.050855,1346028,1000000
958866,729424949.316431,1346097,1000000
958866,729465592.687192,1346022,1000000
958866,729472096.046835,1346010,1000000
1402294,729258413.316872,1969051,1000000
1402294,729438823.426620,1968564,1000000
1402294,729404364.498234,1968657,1000000
1402294,729469950.418597,1968480,1000000
1402294,729305081.707023,1968925,1000000
1402294,729446604.925572,1968543,1000000
1402294,729438823.426620,1968564,1000000
1402294,729129180.461054,1969400,1000000
1402294,729432894.776946,1968580,1000000
1402294,729441046.695094,1968558,1000000
1402294,729432153.702513,1968582,1000000
1402294,729440676.149407,1968559,1000000
1402294,729462168.421555,1968501,1000000
1402294,729092159.431328,1969500,1000000
1402294,729390285.442895,1968695,1000000
1402294,729361758.497175,1968772,1000000
1402294,729439564.514605,1968562,1000000
