ArraySize,AdditionsPerSecond,ActualRuntime
1024,840228140.012223,1277917
1024,840210387.935622,1277944
1024,840225510.027615,1277921
1024,840189349.408753,1277976
1024,840211702.878534,1277942
1024,840236030.064833,1277905
1024,840241947.701534,1277896
1024,840200525.994965,1277959
1024,840140044.489617,1278051
1024,840166997.128348,1278010
1024,840213017.825563,1277940
1024,839959966.362232,1278325
1024,839873240.945922,1278457
1024,840215647.731968,1277936
1024,840209730.465708,1277945
1024,839785876.629725,1278590
1024,840153849.283663,1278030
1024,779496649.318575,1377481
1024,840214990.253823,1277937
1024,840241947.701534,1277896
1497,801865635.455138,1956275
1497,801858667.315513,1956292
1497,801850469.659236,1956312
1497,801871783.914204,1956260
1497,801827107.258396,1956369
1497,801849649.902827,1956314
1497,801609123.813622,1956901
1497,801834484.711588,1956351
1497,801517786.302758,1957124
1497,800438877.782098,1959762
1497,801841042.561729,1956335
1497,801677947.885583,1956733
1497,801816861.020837,1956394
1497,801842682.041025,1956331
1497,801857027.770849,1956296
1497,801859077.202727,1956291
1497,801854978.349446,1956301
1497,801845141.272539,1956325
1497,801851289.417321,1956310
1497,801847600.519138,1956319
2190,778461838.720251,1473601
2190,778390528.561425,1473736
2190,778425917.896081,1473669
2190,778426974.343593,1473667
2190,778424861.451437,1473671
2190,778441764.909859,1473639
2190,778440708.422201,1473641
2190,778424333.230190,1473672
2190,778451273.427835,1473621
2190,778109640.852274,1474268
2190,778438067.215600,1473646
2190,778433841.322319,1473654
2190,778374683.633630,1473766
2190,778130753.180648,1474228
2190,778430671.932467,1473660
2190,778472932.585947,1473580
2190,778401620.394717,1473715
2190,778438595.455486,1473645
2190,778444934.390041,1473633
2190,778372571.025330,1473770
3202,761775239.921830,1101192
3202,761782157.717798,1101182
3202,761534578.862320,1101540
3202,761787000.249733,1101175
3202,761764171.709613,1101208
3202,761780082.365815,1101185
3202,761636218.861024,1101393
3202,744969996.438825,1126033
3202,761765555.218551,1101206
3202,761706068.871834,1101292
3202,761791842.843236,1101168
3202,761800836.394513,1101155
3202,761737885.994592,1101246
3202,761791842.843236,1101168
3202,761793226.452687,1101166
3202,761717827.064085,1101275
3202,761720593.750312,1101271
3202,761772472.838623,1101196
3202,761798069.125349,1101159
3202,761782849.504305,1101181
4684,751677966.994017,1633522
4684,751454396.796099,1634008
4684,751712020.217356,1633448
4684,751692692.333592,1633490
4684,751645297.206832,1633593
4684,751708338.639057,1633456
4684,751712940.617566,1633446
4684,751705577.478999,1633462
4684,751707878.444306,1633457
4684,751692692.333592,1633490
4684,751360592.138596,1634212
4684,751718923.273866,1633433
4684,751690851.634594,1633494
4684,751684869.425108,1633507
4684,751680727.951241,1633516
4684,751646677.562914,1633590
4684,751653579.419372,1633575
4684,751684409.259091,1633508
4684,751687170.263642,1633502
4684,751365649.635510,1634201
6850,744359184.106734,1205844
6850,744296842.725000,1205945
6850,744301163.078036,1205938
6850,744267835.939210,1205992
6850,744329555.217217,1205892
6850,744039563.580418,1206362
6850,744352393.944546,1205855
6850,744301163.078036,1205938
6850,744337579.475221,1205879
6850,744364122.484318,1205836
6850,744324000.063023,1205901
6850,744076571.206879,1206302
6850,744348690.271930,1205861
6850,744374616.754256,1205819
6850,744356714.942513,1205848
6850,744362887.883779,1205838
6850,744343134.832113,1205870
6850,744354863.080099,1205851
6850,744351776.663217,1205856
6850,744359184.106734,1205844
10018,739718232.339937,1774753
10018,739479899.173391,1775325
10018,739438664.792185,1775424
10018,739410761.304901,1775491
10018,739689474.212062,1774822
10018,739699060.006232,1774799
10018,739688640.676484,1774824
10018,739725318.019131,1774736
10018,739701560.689049,1774793
10018,739714897.949639,1774761
10018,739715314.746783,1774760
10018,739730736.571285,1774723
10018,739703644.604313,1774788
10018,739723233.981747,1774741
10018,739653633.878488,1774908
10018,739714481.152966,1774762
10018,739720733.152387,1774747
10018,734617004.191761,1787077
10018,739666552.668157,1774877
10018,739601546.562796,1775033
14650,736638119.552264,1303179
14650,736614944.522030,1303220
14650,736639250.078846,1303177
14650,736647729.138818,1303162
14650,736636423.768898,1303182
14650,736624553.503944,1303203
14650,736638119.552264,1303179
14650,736316060.836864,1303749
14650,736607031.431040,1303234
14650,736551079.424828,1303333
14650,736645468.037073,1303166
14650,736572554.947268,1303295
14650,736370282.582865,1303653
14650,736627944.969180,1303197
14650,736290647.142110,1303794
14650,736438635.952167,1303532
14650,736640945.875225,1303174
14650,736564077.617758,1303310
14650,736616640.206504,1303217
14650,736590075.379969,1303264
21426,734471693.109100,1911637
21426,734468235.227652,1911646
21426,734475151.023107,1911628
21426,734499741.572869,1911564
21426,734462472.164259,1911661
21426,734477072.100513,1911623
21426,734450562.119839,1911692
21426,734450562.119839,1911692
21426,734287702.210535,1912116
21426,734452098.878060,1911688
21426,734451330.498146,1911690
21426,734450562.119839,1911692
21426,732128971.703357,1917754
21426,734326874.175607,1912014
21426,734438652.461680,1911723
21426,734434426.546789,1911734
21426,734442878.425202,1911712
21426,734474382.594958,1911630
21426,734473998.381487,1911631
21426,734515495.759141,1911523
31334,732963034.406936,1400735
31334,732949429.631465,1400761
31334,732625157.612384,1401381
31334,732930069.860180,1400798
31334,732832240.173878,1400985
31334,732942104.192322,1400775
31334,732937395.058767,1400784
31334,732824394.004283,1401000
31334,732965127.494144,1400731
31334,732977162.977580,1400708
31334,732897631.454963,1400860
31334,732839040.323433,1400972
31334,732934255.670015,1400790
31334,732917512.717533,1400822
31334,732955185.436373,1400750
31334,732954138.919666,1400752
31334,732947336.633911,1400765
31334,732965127.494144,1400731
31334,732909664.721877,1400837
31334,732878797.569556,1400896
45825,730828078.625447,1027301
45825,731807572.865879,1025926
45825,731802579.700624,1025933
45825,731656381.500344,1026138
45825,731784747.523778,1025958
45825,731817559.400806,1025912
45825,731808286.180764,1025925
45825,731538039.411325,1026304
45825,731739814.292300,1026021
45825,731610751.099686,1026202
45825,731824692.806915,1025902
45825,731816846.067844,1025913
45825,731773335.386667,1025974
45825,731828259.562120,1025897
45825,731836819.916462,1025885
45825,731788313.889623,1025953
45825,731828259.562120,1025897
45825,731595066.963938,1026224
45825,731788313.889623,1025953
45825,731812566.099273,1025919
67017,731200807.657832,1501626
67017,731190095.148796,1501648
67017,731210546.574801,1501606
67017,731147735.119712,1501735
67017,731184739.011986,1501659
67017,731186686.689020,1501655
67017,731115116.373530,1501802
67017,731149682.599613,1501731
67017,731165749.704668,1501698
67017,731130208.267439,1501771
67017,731157472.622968,1501715
67017,731183278.261020,1501662
67017,731207137.924352,1501613
67017,731193503.640351,1501641
67017,731153577.590541,1501723
67017,731174513.877790,1501680
67017,731205677.083888,1501616
67017,731194964.432173,1501638
67017,731104406.375181,1501824
67017,731206164.030061,1501615
98010,730740628.893725,1098723
98010,730763242.373410,1098689
98010,730744619.406089,1098717
98010,730783861.765900,1098658
98010,730496625.390095,1099090
98010,730339140.219425,1099327
98010,730789183.088336,1098650
98010,730734643.206897,1098732
98010,730743954.317668,1098718
98010,730381661.167528,1099263
98010,730696736.134053,1098789
98010,730779205.672339,1098665
98010,730770558.798847,1098678
98010,730583703.304673,1098959
98010,730718016.813545,1098757
98010,730720011.940798,1098754
98010,730759251.657648,1098695
98010,730693411.139850,1098794
98010,730449439.163144,1099161
98010,730368372.839387,1099283
143335,730242855.854595,1607925
143335,730480454.796000,1607402
143335,730455006.600483,1607458
143335,730453188.940081,1607462
143335,730449099.237249,1607471
143335,730488634.949707,1607384
143335,730147042.289956,1608136
143335,730417746.370230,1607540
143335,730403661.175774,1607571
143335,730413202.699760,1607550
143335,730470911.514891,1607423
143335,730326883.700101,1607740
143335,730336877.487221,1607718
143335,730430014.562868,1607513
143335,730227869.135885,1607958
143335,730374129.467118,1607636
143335,730487726.034692,1607386
143335,730331426.296704,1607730
143335,730389576.524538,1607602
143335,730350051.533599,1607689
