ArraySize,AdditionsPerSecond,ActualRuntime
1024,3157883074.353089,1360078
1024,3166840527.904170,1356231
1024,3165822781.861724,1356667
1024,3166812507.788058,1356243
1024,3165820448.333712,1356668
1024,3165517118.981602,1356798
1024,3165799446.736401,1356677
1024,3165584779.723004,1356769
1024,3164019990.570486,1357440
1024,3165883454.797548,1356641
1024,3165568447.555087,1356776
1024,3165087890.627879,1356982
1024,3165797113.242788,1356678
1024,3165521785.146772,1356796
1024,3165797113.242788,1356678
1024,3166875553.746601,1356216
1024,3165743443.839137,1356701
1024,2805103757.626740,1531126
1024,3165799446.736401,1356677
1024,3165839116.654136,1356660
1497,3050512650.430789,1028463
1497,2923963179.011627,1072975
1497,3051693610.812546,1028065
1497,3049128115.615251,1028930
1497,2862225170.807184,1096119
1497,2863094976.573893,1095786
1497,3050708424.859271,1028397
1497,3051316672.372475,1028192
1497,3051702515.996117,1028062
1497,3052014230.167215,1027957
1497,2862366184.487234,1096065
1497,3051049607.014419,1028282
1497,3050871589.412860,1028342
1497,3047558323.781400,1029460
1497,3051542230.643235,1028116
1497,3053481626.102351,1027463
1497,2927868003.553751,1071544
1497,3050251656.942631,1028551
1497,3049845426.407229,1028688
1497,2862904253.193157,1095859
2190,2871651324.094037,1597885
2190,3002744262.413088,1528125
2190,3004873851.537810,1527042
2190,3004865980.461624,1527046
2190,3005113939.171666,1526920
2190,3004834496.569229,1527062
2190,3004641672.123418,1527160
2190,3004824657.988156,1527067
2190,3004834496.569229,1527062
2190,3004334778.133667,1527316
2190,3004793174.961675,1527083
2190,3004986018.854147,1526985
2190,3004875819.313299,1527041
2190,3005017505.921862,1526969
2190,3003524564.582177,1527728
2190,3004814819.471511,1527072
2190,3004684957.089667,1527138
2190,3004562975.379780,1527200
2190,3004869915.994562,1527044
2190,3004911239.712827,1527023
3202,2979170932.104295,1126301
3202,2979062487.237447,1126342
3202,2979202673.558918,1126289
3202,2979242351.328362,1126274
3202,2978827109.694247,1126431
3202,2979033393.616389,1126353
3202,2979213254.194098,1126285
3202,2979223834.904433,1126281
3202,2976670774.018471,1127247
3202,2882990284.188350,1163876
3202,2979165641.927616,1126303
3202,2979149771.510305,1126309
3202,2978282445.898723,1126637
3202,2979144481.408776,1126311
3202,2979279384.866727,1126260
3202,2979192092.998891,1126293
3202,2979244996.550570,1126273
3202,2979099516.304309,1126328
3202,2979054552.557165,1126345
3202,2979229125.287784,1126279
4684,2959045341.828952,1659836
