ArraySize,Mean
1024,3147355889.973406
1497,3000704922.409232
2190,2997988022.517172
3202,2974173955.207794
4684,2952135552.215975
6850,2944355053.632876
10018,2936022453.073112
14650,2929615367.021339
21426,2927415804.004712
31334,2924212101.189699
45825,2920580371.160001
67017,2920312679.608113
98010,2919965156.245708
143335,2918684004.661172
209620,2917914616.359504
306559,2916466716.091865
448328,2916203210.058321
655657,2916791008.663514
958866,2917042017.059928
1402294,2917199616.756823
2050785,2917120433.871807
2999171,2917052057.854150
4386138,2917382433.037515
6414508,2917369529.940709
9380897,2917438055.366786
13719093,2917153813.918198
20063488,2911809261.653800
29341848,2759262194.518191
42910984,2682505843.465610
62755168,2583624943.904591
91776294,2587306205.889291
134218240,2591272281.273596
