ArraySize,AdditionsPerSecond,ActualRuntime
1024,2101093602.353634,1022079
1024,2100493507.738385,1022371
1024,2100438036.850620,1022398
1024,2099807518.297065,1022705
1024,2100577746.911467,1022330
1024,2099700757.853528,1022757
1024,2100631170.375935,1022304
1024,2078407765.900304,1033235
1024,2099879382.400970,1022670
1024,2100906549.791131,1022170
1024,2100499671.351216,1022368
1024,2100853112.318968,1022196
1024,2100740080.469474,1022251
1024,2100557200.148679,1022340
1024,2100698980.994277,1022271
1024,2100777071.372182,1022233
1024,2100869554.328558,1022188
1024,2100590075.162082,1022324
1024,2101083323.875533,1022084
1024,2100557200.148679,1022340
1497,2137845372.205156,1467524
1497,2137906558.308722,1467482
1497,2136887246.948948,1468182
1497,2137887619.378601,1467495
1497,2137857026.431058,1467516
1497,2137048815.758911,1468071
1497,2137862853.591657,1467512
1497,2137854112.862670,1467518
1497,2136303764.921697,1468583
1497,2137859940.007387,1467514
1497,2137070651.255810,1468056
1497,2137075018.408736,1468053
1497,2137961920.182303,1467444
1497,2137830804.601461,1467534
1497,2137826434.359066,1467537
1497,2137899274.065120,1467487
1497,2137686596.035930,1467633
1497,2137842458.668535,1467526
1497,2137851199.302224,1467520
1497,2137076474.130344,1468052
2190,2152749612.008865,1065746
2190,2153804540.641217,1065224
2190,2153760059.178819,1065246
2190,2153709514.292607,1065271
2190,2152648619.435615,1065796
2190,2153743884.557110,1065254
2190,2153784321.566905,1065234
2190,2153806562.569528,1065223
2190,2153371935.297971,1065438
2190,2153780277.797596,1065236
2190,2153749950.011781,1065251
2190,2153774212.172104,1065239
2190,2153735797.337358,1065258
2190,2153824760.095154,1065214
2190,2153764102.872206,1065244
2190,2153747928.189762,1065252
2190,2153709514.292607,1065271
2190,2153753993.667209,1065249
2190,2153840935.931641,1065206
2190,2153758037.337819,1065247
3202,2164244945.978422,1550399
3202,2164997612.687598,1549860
3202,2164976659.408017,1549875
3202,2164874692.570331,1549948
3202,2165043711.330361,1549827
3202,2164934754.065572,1549905
3202,2164923579.581563,1549913
3202,2164887263.305201,1549939
3202,2164144443.849643,1550471
3202,2164947325.497969,1549896
3202,2165054887.054553,1549819
3202,2164997612.687598,1549860
3202,2164034181.419496,1550550
3202,2164985040.671179,1549869
3202,2164990628.216006,1549865
3202,2165053490.082719,1549820
3202,2164795081.306189,1550005
3202,2164969675.071619,1549880
3202,2164811841.085734,1549993
3202,2164855138.384037,1549962
4684,2172526229.837408,1130373
4684,2172353267.643435,1130463
4684,2172610799.156706,1130329
4684,2172362875.931702,1130458
4684,2171880644.798971,1130709
4684,2172497400.892437,1130388
4684,2172576201.821211,1130347
4684,2172385936.170326,1130446
4684,2171919061.740231,1130689
4684,2172556981.555385,1130357
4684,2172499322.798298,1130387
4684,2172489713.302996,1130392
4684,2172485869.528678,1130394
4684,2172570435.705755,1130350
4684,2172457041.654835,1130409
4684,2172605032.857603,1130332
4684,2172522385.933872,1130375
4684,2172528151.794277,1130372
4684,2172570435.705755,1130350
4684,2172572357.740839,1130349
6850,2177902307.761367,1648524
6850,2177848143.082014,1648565
6850,2177235345.163730,1649029
6850,2177733217.198050,1648652
6850,2177723970.815068,1648659
6850,2176853841.405963,1649318
6850,2177813796.144708,1648591
6850,2177829648.442689,1648579
6850,2177628869.718590,1648731
6850,2177759635.867798,1648632
6850,2177720008.103541,1648662
6850,2177834932.593300,1648575
6850,2177774166.409381,1648621
6850,2177829648.442689,1648579
6850,2177528494.238562,1648807
6850,2177595850.447246,1648756
6850,2177026755.607460,1649187
6850,2177775487.377322,1648620
6850,2177783413.218619,1648614
6850,2177772845.443043,1648622
10018,2181217734.291342,1203747
10018,2181487759.201993,1203598
10018,2180469625.298964,1204160
10018,2181466009.753990,1203610
10018,2181473259.521804,1203606
10018,2181480509.337804,1203602
10018,2181437011.164598,1203626
10018,2181442448.341383,1203623
10018,2180703241.029508,1204031
10018,2181391702.412078,1203651
10018,2181442448.341383,1203623
10018,2180536626.241671,1204123
10018,2181456947.611985,1203615
10018,2180473246.866275,1204158
10018,2181455135.192619,1203616
10018,2181282969.084772,1203711
10018,2181502259.074934,1203590
10018,2181415262.728495,1203638
10018,2181520384.187175,1203580
10018,2181455135.192619,1203616
14650,2183307384.177485,1758747
14650,2183818960.550748,1758335
14650,2183838832.430293,1758319
14650,2183018176.443166,1758980
14650,2183862430.756981,1758300
14650,2183543275.537842,1758557
14650,2183958071.302673,1758223
14650,2183900934.384898,1758269
14650,2183838832.430293,1758319
14650,2183975461.392815,1758209
14650,2183890997.834812,1758277
14650,2183898450.238900,1758271
14650,2183903418.536548,1758267
14650,2182340762.228009,1759526
14650,2184001547.047301,1758188
14650,2183895966.098552,1758273
14650,2182938750.821469,1759044
14650,2183789153.409514,1758359
14650,2183175803.776666,1758853
14650,2183923291.953197,1758251
21426,2184959977.092864,1285189
21426,2184494246.820017,1285463
21426,2184100061.056471,1285695
21426,2184851175.605114,1285253
21426,2184630205.938619,1285383
21426,2184550327.905837,1285430
21426,2184895374.902644,1285227
21426,2184851175.605114,1285253
21426,2184584317.844112,1285410
21426,2184942976.146107,1285199
21426,2184837576.181025,1285261
21426,2184840976.021175,1285259
21426,2184835876.264917,1285262
21426,2184808677.966946,1285278
21426,2184912375.108639,1285217
21426,2184596214.572395,1285403
21426,2184876674.981598,1285238
21426,2184915775.181584,1285215
21426,2183762058.147872,1285894
21426,2184847775.733220,1285255
31334,2186453539.934908,1878269
31334,2186149757.523170,1878530
31334,2185578502.848026,1879021
31334,2186436078.889029,1878284
31334,2185508716.228837,1879081
31334,2186466344.879138,1878258
31334,2186403485.682890,1878312
31334,2186561804.644506,1878176
31334,2185544772.092280,1879050
31334,2186448883.628737,1878273
31334,2186462852.606746,1878261
31334,2186375549.422468,1878336
31334,2186401157.633921,1878314
31334,2185886780.401500,1878756
31334,2186431422.657228,1878288
31334,2185758805.577407,1878866
31334,2186291744.924425,1878408
31334,2186411633.893324,1878305
31334,2186401157.633921,1878314
31334,2186431422.657228,1878288
45825,2185864199.498793,1373883
45825,2186618599.412119,1373409
45825,2187226954.750344,1373027
45825,2187491424.113585,1372861
45825,2187384672.757785,1372928
45825,2187118636.365292,1373095
45825,2187292269.549726,1372986
45825,2185994670.261559,1373801
45825,2187406978.150125,1372914
45825,2187481863.865910,1372867
45825,2187171201.300451,1373062
45825,2187338470.177872,1372957
45825,2186669548.128445,1373377
45825,2187518511.935806,1372844
45825,2187375113.443181,1372934
45825,2187000772.665273,1373169
45825,2186596310.095287,1373423
45825,2187437250.481647,1372895
45825,2187424504.134669,1372903
45825,2187031033.754506,1373150
67017,2186937302.255175,1004135
67017,2187837158.097561,1003722
67017,2187987569.408949,1003653
67017,2187039669.829736,1004088
67017,2188074773.842108,1003613
67017,2187952689.581924,1003669
67017,2188066053.085988,1003617
67017,2187412194.434401,1003917
67017,2188177247.933868,1003566
67017,2187423088.876316,1003912
67017,2187771768.325244,1003752
67017,2186652030.438150,1004266
67017,2187802283.065900,1003738
67017,2186375540.251674,1004393
67017,2188052972.082147,1003623
67017,2187898192.078462,1003694
67017,2187882933.263990,1003701
67017,2187926530.441445,1003681
67017,2187965769.386736,1003663
67017,2187732536.338006,1003770
98010,2188172547.737067,1467675
98010,2187680657.763427,1468005
98010,2187138344.653149,1468369
98010,2187621049.763461,1468045
98010,2187935518.594064,1467834
98010,2187872915.695876,1467876
98010,2188048809.136111,1467758
98010,2187957877.640227,1467819
98010,2188021976.105346,1467776
98010,2188166584.110013,1467679
98010,2187235166.559514,1468304
98010,2188045827.655747,1467760
98010,2188084587.534253,1467734
98010,2187272408.036892,1468279
98010,2186885158.650877,1468539
98010,2188047318.394914,1467759
98010,2187601677.862864,1468058
98010,2187558464.859372,1468087
98010,2188042846.183509,1467762
98010,2187583796.412978,1468070
143335,2188605194.829401,1072990
143335,2188666388.308977,1072960
143335,2188578678.717581,1073003
143335,2188633751.360702,1072976
143335,2188739825.001585,1072924
143335,2188513411.025735,1073035
143335,2188362494.397120,1073109
143335,2188599075.669645,1072993
143335,2188574599.372789,1073005
143335,2188731665.125712,1072928
143335,2188556242.509418,1073014
143335,2185848921.620004,1074343
143335,2188503213.300529,1073040
143335,2188395123.255859,1073093
143335,2188762264.973954,1072913
143335,2188140236.186870,1073218
143335,2188535846.355720,1073024
143335,2188692906.546176,1072947
143335,2188597035.957331,1072994
143335,2188513411.025735,1073035
209620,2186998340.526930,1570378
209620,2187584806.462852,1569957
209620,2188394674.061538,1569376
209620,2188379335.371071,1569387
209620,2187269942.420724,1570183
209620,2187143186.475736,1570274
209620,2188609438.307646,1569222
209620,2188483921.616606,1569312
209620,2188733574.528100,1569133
209620,2188439296.929163,1569344
209620,2188556440.615322,1569260
209620,2188549467.425833,1569265
209620,2188258027.848821,1569474
209620,2187265763.419111,1570186
209620,2187346560.280436,1570128
209620,2188266393.453068,1569468
209620,2188449058.424035,1569337
209620,2188522969.711028,1569284
209620,2187325663.968186,1570143
209620,2188582939.140642,1569241
306559,2186985543.797070,1148296
306559,2186926504.384204,1148327
306559,2186928408.831638,1148326
306559,2186492376.943202,1148555
306559,2187162681.163522,1148203
306559,2187305554.781348,1148128
306559,2186732268.168080,1148429
306559,2187126489.476774,1148222
306559,2186509510.285178,1148546
306559,2187130299.071607,1148220
306559,2187063633.078018,1148255
306559,2186557104.310675,1148521
306559,2187842926.664379,1147846
306559,2187052205.030041,1148261
306559,2186968402.993978,1148305
306559,2183372879.057135,1150196
306559,2187168395.749869,1148200
306559,2187151252.080414,1148209
306559,2186865563.817587,1148359
306559,2186876989.915122,1148353
448328,2187511637.395239,1678941
448328,2187304494.074206,1679100
448328,2187466036.441259,1678976
448328,2187350088.293187,1679065
448328,2187344877.429099,1679069
448328,2187382656.756241,1679040
448328,2187188563.050377,1679189
448328,2187081761.073704,1679271
448328,2187456916.478607,1678983
448328,2187212008.782906,1679171
448328,2187286256.918828,1679114
448328,2187308402.075639,1679097
448328,2186551812.906998,1679678
448328,2187295375.458503,1679107
448328,2187385262.275184,1679038
448328,2183689071.753038,1681880
448328,2187479065.091253,1678966
448328,2187316218.120400,1679091
