ArraySize,Mean
1024,2099458115.432134
1497,2137571707.071216
2190,2153640927.962694
3202,2164826128.212691
4684,2172448507.328536
6850,2177648518.874057
10018,2181255485.743770
14650,2183641025.067608
21426,2184704690.953814
31334,2186220220.687984
45825,2187072149.242118
67017,2187648415.150889
98010,2187748676.667483
143335,2188427514.277041
209620,2188057990.049343
306559,2186810949.479992
448328,2187103159.080679
655657,2187458903.790964
958866,2187622601.709230
1402294,2186925864.529162
2050785,2187766450.223140
2999171,2188064785.061200
4386138,2188088185.652941
6414508,2187967137.724886
9380897,2188055502.290483
13719093,2187684300.018871
20063488,2185164945.668561
29341848,2083604378.011729
42910984,2059225912.825171
62755168,2043335936.881385
91776294,2060888184.467780
134218240,2060877919.829131
