ArraySize,Mean
1024,837120777.608038
1497,801740861.707829
2190,778396825.647567
3202,760910425.851414
4684,751644162.581267
6850,744310092.171664
10018,739405669.533685
14650,736563529.225996
21426,734331643.159599
31334,732907240.317670
45825,731714314.237277
67017,731173103.149286
98010,730652813.364668
143335,730383817.958573
209620,729968061.840264
306559,729623754.192545
448328,729436409.478874
655657,729491741.211803
958866,729412967.635202
1402294,729432107.064791
2050785,729330887.613041
2999171,729385810.951502
4386138,729406230.376767
6414508,729391912.253639
9380897,729415428.653324
13719093,729372852.354018
20063488,729187051.462656
29341848,726924007.280046
42910984,725688046.179044
62755168,725895016.285745
91776294,726130695.592373
134218240,726288091.870638
