EdgeSize,MegaUpdatesPerSecond,ActualRuntime
8,31.196529,1210030
8,31.432422,1200949
8,31.242850,1208236
8,31.215154,1209308
8,31.367855,1203421
8,31.248462,1208019
8,31.148366,1211901
8,31.348735,1204155
8,31.301165,1205985
8,31.639683,1193082
8,31.182046,1210592
8,31.358683,1203773
8,31.119042,1213043
8,30.871418,1222773
8,31.126868,1212738
8,31.524058,1197458
8,31.494233,1198592
8,31.172442,1210965
8,30.954222,1219502
8,31.378598,1203009
9,41.468036,1239032
9,41.797108,1229277
9,41.440811,1239846
9,41.800441,1229179
9,41.318407,1243519
9,41.498146,1238133
9,41.402876,1240982
9,41.964142,1224384
9,41.274428,1244844
9,40.673946,1263222
9,41.799455,1229208
9,41.630556,1234195
9,41.582040,1235635
9,41.498347,1238127
9,41.639632,1233926
9,41.295758,1244201
9,41.514173,1237655
9,41.693153,1232342
9,41.435397,1240008
9,41.376036,1241787
11,64.547467,1315848
11,64.657634,1313606
11,64.967633,1307338
11,64.919565,1308306
11,65.004826,1306590
11,64.578043,1315225
11,64.475243,1317322
11,64.802571,1310668
11,64.820227,1310311
11,64.857003,1309568
11,64.698908,1312768
11,65.425494,1298189
11,64.533343,1316136
11,64.018958,1326711
11,63.888793,1329414
11,64.830815,1310097
11,65.256244,1301556
11,64.970566,1307279
11,65.617516,1294390
11,64.553600,1315723
14,103.868112,1453718
14,104.363901,1446812
14,103.911357,1453113
14,103.925303,1452918
14,104.625825,1443190
14,104.548166,1444262
14,104.344284,1447084
14,104.404744,1446246
14,104.189269,1449237
14,104.037367,1451353
14,104.018016,1451623
14,104.953370,1438686
14,104.444825,1445691
14,104.413047,1446131
14,104.238971,1448546
14,104.612922,1443368
14,104.217459,1448845
14,104.419040,1446048
14,103.836683,1454158
14,104.215229,1448876
17,147.024850,1604692
17,146.671856,1608554
17,147.135612,1603484
17,146.216813,1613560
17,146.767203,1607509
17,146.139195,1614417
17,146.284172,1612817
17,145.881934,1617264
17,146.746298,1607738
17,146.613067,1609199
17,146.063015,1615259
17,146.300137,1612641
17,146.148881,1614310
17,146.315743,1612469
17,146.283628,1612823
17,146.247085,1613226
17,146.314473,1612483
17,146.106524,1614778
17,146.115482,1614679
17,146.161104,1614175
20,188.463498,1802676
20,188.595318,1801416
20,188.227727,1804934
20,188.769688,1799752
20,187.723922,1809778
20,187.848893,1808574
20,187.162778,1815204
20,188.416568,1803125
20,188.081320,1806339
20,188.476253,1802554
20,188.756683,1799876
20,188.644642,1800945
20,188.690847,1800504
20,189.103712,1796573
20,188.866233,1798832
20,188.620867,1801172
20,189.279235,1794907
20,188.389717,1803382
