EdgeSize,MegaUpdatesPerSecond,ActualRuntime
8,30.784385,1226230
8,30.905944,1221407
8,30.818414,1224876
8,31.022474,1216819
8,30.185852,1250544
8,31.103683,1213642
8,30.772189,1226716
8,31.020384,1216901
8,30.879423,1222456
8,30.879549,1222451
8,30.660316,1231192
8,31.135803,1212390
8,31.026401,1216665
8,30.920880,1220817
8,31.048398,1215803
8,31.229229,1208763
8,30.841932,1223942
8,30.819899,1224817
8,30.734407,1228224
8,30.806769,1225339
9,40.949978,1254707
9,40.786080,1259749
9,40.873359,1257059
9,40.759387,1260574
9,40.851553,1257730
9,40.751241,1260826
9,40.925515,1255457
9,41.107830,1249889
9,40.756090,1260676
9,40.786048,1259750
9,41.005831,1252998
9,40.903588,1256130
9,41.046845,1251746
9,41.434629,1240031
9,40.706300,1262218
9,40.957584,1254474
9,41.010740,1252848
9,41.311696,1243721
9,41.337688,1242939
9,41.552581,1236511
11,63.711855,1333106
11,63.420136,1339238
11,63.757481,1332152
11,63.616938,1335095
11,63.786354,1331549
11,63.799578,1331273
11,63.798428,1331297
11,64.006993,1326959
11,63.671735,1333946
11,63.784294,1331592
11,63.616509,1335104
11,63.666342,1334059
11,63.564471,1336197
11,64.022095,1326646
11,63.823885,1330766
11,63.677845,1333818
11,63.829593,1330647
11,63.988910,1327334
11,63.542834,1336652
11,63.148490,1344999
14,103.101368,1464529
14,102.869224,1467834
14,102.459757,1473700
14,102.574742,1472048
14,102.830693,1468384
14,102.461426,1473676
14,102.709823,1470112
14,103.254079,1462363
14,102.227029,1477055
14,102.909677,1467257
14,102.602134,1471655
14,102.648449,1470991
14,102.445784,1473901
14,103.071809,1464949
14,102.724917,1469896
14,102.642587,1471075
14,102.932547,1466931
14,102.709684,1470114
14,102.591747,1471804
14,102.756095,1469450
17,142.288611,1658106
17,143.045375,1649334
17,142.219222,1658915
17,142.777019,1652434
17,143.169766,1647901
17,143.380935,1645474
17,143.122953,1648440
17,143.074435,1648999
17,143.118959,1648486
17,143.390782,1645361
17,143.340950,1645933
17,143.964589,1638803
17,143.054048,1649234
17,142.875241,1651298
17,143.830395,1640332
17,143.615104,1642791
17,143.280798,1646624
17,143.359067,1645725
17,143.254089,1646931
17,142.674531,1653621
20,185.356900,1832889
20,185.255120,1833896
20,185.892604,1827607
20,185.752142,1828989
20,184.859676,1837819
20,184.951758,1836904
20,185.511250,1831364
20,185.128128,1835154
20,184.725992,1839149
20,185.371565,1832744
20,185.882636,1827705
20,185.830478,1828218
20,184.278110,1843619
20,185.525837,1831220
20,185.458894,1831881
20,184.878286,1837634
20,184.655610,1839850
20,185.573467,1830750
20,185.447961,1831989
20,185.108862,1835345
25,243.768937,1137751
25,243.922869,1137033
25,242.451994,1143931
25,243.232341,1140261
25,243.747514,1137851
25,242.883010,1141901
25,242.331668,1144499
25,242.599386,1143236
25,243.093553,1140912
25,243.092914,1140915
25,242.290175,1144695
25,243.065857,1141042
25,242.621245,1143133
25,242.182909,1145202
25,242.799447,1142294
25,242.808588,1142251
25,243.368510,1139623
25,241.048183,1150593
25,242.455385,1143915
25,242.978550,1141452
30,293.177429,1402024
30,294.091573,1397666
30,295.194275,1392445
30,294.538544,1395545
30,294.858007,1394033
30,294.403530,1396185
30,293.162374,1402096
30,294.799429,1394310
30,295.392838,1391509
30,294.092204,1397663
30,293.940151,1398386
30,293.585972,1400073
30,292.747294,1404084
30,292.720401,1404213
30,293.069150,1402542
30,292.512507,1405211
30,293.768308,1399204
30,294.159763,1397342
30,293.931953,1398425
30,293.985982,1398168
36,344.728165,1758130
36,343.384416,1765010
36,343.425666,1764798
36,344.213644,1760758
36,343.383054,1765017
36,344.228111,1760684
36,344.371087,1759953
36,344.950266,1756998
36,344.977362,1756860
36,344.333131,1760147
36,344.324328,1760192
36,344.967544,1756910
36,344.609775,1758734
36,344.507915,1759254
36,344.118075,1761247
36,343.748027,1763143
36,344.446437,1759568
36,344.369130,1759963
36,344.584304,1758864
36,345.463448,1754388
44,388.777131,1189427
44,388.914133,1189008
44,387.406549,1193635
44,388.421831,1190515
44,389.335556,1187721
44,388.098447,1191507
44,387.922312,1192048
44,388.490685,1190304
44,388.491664,1190301
44,389.245759,1187995
44,388.391165,1190609
44,388.068808,1191598
44,387.641023,1192913
44,386.947192,1195052
44,388.574256,1190048
44,388.335390,1190780
44,388.480241,1190336
44,389.131116,1188345
44,387.988384,1191845
44,388.937031,1188938
53,409.745226,1664050
53,410.360749,1661554
53,408.706789,1668278
53,407.698709,1672403
53,409.543906,1664868
53,410.139333,1662451
53,409.965231,1663157
53,410.492676,1661020
53,409.605906,1664616
53,410.563615,1660733
53,409.789061,1663872
53,410.626171,1660480
53,409.264404,1666005
53,409.840048,1663665
53,409.965724,1663155
53,410.056949,1662785
53,409.863699,1663569
53,410.048318,1662820
53,410.221256,1662119
53,409.890309,1663461
64,449.256547,1121499
64,449.857427,1120001
64,449.424455,1121080
64,449.614956,1120605
64,448.174374,1124207
64,448.993116,1122157
64,448.984714,1122178
64,448.907507,1122371
64,449.773898,1120209
64,449.565210,1120729
64,448.672852,1122958
64,449.493017,1120909
64,450.204727,1119137
64,448.682441,1122934
64,432.660352,1164518
64,448.576582,1123199
64,449.198069,1121645
64,446.176869,1129240
64,446.200973,1129179
64,448.617721,1123096
78,473.625192,1598462
78,471.224352,1606606
78,473.589935,1598581
78,473.277887,1599635
78,473.932952,1597424
78,472.700174,1601590
78,473.060525,1600370
78,473.533653,1598771
78,473.178201,1599972
78,473.809563,1597840
78,471.319989,1606280
78,470.767242,1608166
78,473.926722,1597445
78,471.267472,1606459
78,473.650972,1598375
78,470.964921,1607491
78,473.108416,1600208
78,471.760829,1604779
78,470.217542,1610046
78,472.361591,1602738
94,489.524367,1133134
94,488.276887,1136029
94,488.392104,1135761
94,488.653692,1135153
94,488.564600,1135360
94,489.044875,1134245
94,488.934522,1134501
94,487.729065,1137305
94,489.225168,1133827
94,486.928011,1139176
94,487.837587,1137052
94,488.740232,1134952
94,489.468644,1133263
94,487.313438,1138275
94,489.463893,1133274
94,489.142768,1134018
94,487.711054,1137347
94,487.243237,1138439
94,487.962040,1136762
94,485.584017,1142329
114,499.858074,1644634
114,497.342082,1652954
114,501.033404,1640776
114,497.905065,1651085
114,500.308909,1643152
114,497.970814,1650867
114,498.872241,1647884
114,498.227040,1650018
114,498.308580,1649748
114,497.151397,1653588
114,498.582087,1648843
114,496.290326,1656457
114,499.075156,1647214
114,501.287901,1639943
114,498.697322,1648462
114,498.960958,1647591
114,500.176190,1643588
114,498.565456,1648898
114,498.805951,1648103
114,498.033564,1650659
138,497.594794,1218013
138,498.528399,1215732
138,487.180522,1244050
138,498.801241,1215067
138,499.007404,1214565
138,486.506323,1245774
138,497.826130,1217447
138,497.982791,1217064
138,496.928151,1219647
138,498.536191,1215713
138,498.130954,1216702
138,486.702055,1245273
138,497.512285,1218215
138,485.250131,1248999
138,497.719427,1217708
138,496.812873,1219930
138,497.844122,1217403
138,497.012504,1219440
138,497.514327,1218210
138,496.901261,1219713
167,508.515919,1754338
167,510.477708,1747596
167,510.220495,1748477
167,510.263978,1748328
167,510.170600,1748648
167,502.099217,1776758
167,510.758865,1746634
167,509.466119,1751066
167,502.063612,1776884
167,510.101465,1748885
167,508.839611,1753222
167,510.159514,1748686
167,494.157412,1805313
167,502.247056,1776235
167,510.435356,1747741
167,510.360017,1747999
167,509.933225,1749462
167,510.774657,1746580
167,510.114590,1748840
167,510.518313,1747457
202,509.805447,1285510
202,515.129411,1272224
202,515.070302,1272370
202,509.747553,1285656
202,515.528146,1271240
202,513.908689,1275246
202,515.342884,1271697
202,515.750067,1270693
202,515.332348,1271723
202,515.411784,1271527
202,509.901040,1285269
202,515.449485,1271434
202,506.357672,1294263
202,515.312898,1271771
202,515.560996,1271159
202,515.717193,1270774
202,515.629143,1270991
202,509.546217,1286164
202,509.696808,1285784
202,515.009992,1272519
244,525.079870,1827365
244,525.163787,1827073
244,521.075773,1841407
244,524.707164,1828663
244,521.447870,1840093
244,525.416851,1826193
244,521.141998,1841173
244,525.334291,1826480
244,525.387219,1826296
244,517.542869,1853977
244,525.651441,1825378
244,517.773273,1853152
244,521.574289,1839647
244,525.546353,1825743
244,525.455983,1826057
244,525.100272,1827294
244,525.310995,1826561
244,525.665840,1825328
244,525.222718,1826868
244,520.957516,1841825
296,527.657153,1341939
296,530.417664,1334955
296,527.580489,1342134
296,530.229396,1335429
296,527.433514,1342508
296,527.503061,1342331
296,527.744459,1341717
296,530.001192,1336004
296,530.586980,1334529
296,530.487205,1334780
296,524.775838,1349307
296,530.542852,1334640
296,530.268707,1335330
296,527.779075,1341629
296,530.335429,1335162
296,530.538082,1334652
296,527.569876,1342161
296,530.557958,1334602
296,530.278634,1335305
296,530.175403,1335565
358,526.683843,1971242
358,530.414044,1957379
358,521.509862,1990799
358,526.490473,1971966
358,528.269260,1965326
358,526.362884,1972444
358,530.454966,1957228
358,527.376759,1968652
358,530.569634,1956805
358,528.364700,1964971
358,526.306316,1972656
358,524.558988,1979227
358,526.434678,1972175
358,524.145334,1980789
358,528.214969,1965528
358,530.401580,1957425
358,526.540938,1971777
358,530.454424,1957230
358,521.075371,1992459
358,530.610037,1956656
432,535.097230,1415351
432,535.154324,1415200
432,532.599338,1421989
432,532.569376,1422069
432,535.202732,1415072
432,533.944347,1418407
432,535.293141,1414833
432,532.640541,1421879
432,529.637517,1429941
432,532.326808,1422717
432,532.169707,1423137
432,533.890146,1418551
432,532.677629,1421780
432,528.683997,1432520
432,533.870575,1418603
432,532.509088,1422230
432,532.547281,1422128
432,530.879380,1426596
432,534.940001,1415767
432,532.227300,1422983
523,535.857246,1037424
523,537.016251,1035185
523,534.310594,1040427
523,533.306441,1042386
523,533.230221,1042535
523,536.194234,1036772
523,534.602449,1039859
523,535.626974,1037870
523,533.098293,1042793
523,536.077377,1036998
523,536.804161,1035594
523,533.957505,1041115
523,536.937929,1035336
523,533.055354,1042877
523,535.002212,1039082
523,534.504786,1040049
523,534.580857,1039901
523,535.046495,1038996
523,537.036484,1035146
523,534.768044,1039537
633,537.323620,1517584
633,535.537652,1522645
633,536.034735,1521233
633,536.298436,1520485
633,536.396156,1520208
633,535.740669,1522068
633,536.457205,1520035
