EdgeSize,MegaUpdatesPerSecond,ActualRuntime
8,477.121326,1265883
9,489.719080,1678684
11,505.168765,1345050
14,504.022532,1198319
17,515.278358,1831473
20,522.432880,1300602
25,529.317012,1047948
30,533.161674,1541903
36,501.305568,1208997
44,492.646363,1877298
53,501.301376,1360133
64,501.739483,1004188
78,515.909473,1467451
94,521.103261,1064466
114,525.078967,1565638
138,457.628958,1324385
167,459.834253,1940066
202,461.515927,1420016
244,463.092372,1035984
296,464.634968,1523957
358,465.674089,1114751
432,466.593845,1623147
523,463.358929,1199742
633,447.362584,1822758
765,467.872427,1274153
925,468.932501,1860343
1119,455.390813,1402788
1354,453.609808,1031599
1637,449.119638,1523749
1980,449.938279,1113037
2394,450.213430,1626724
2896,450.249734,1190484
