EdgeSize,MegaUpdatesPerSecond,ActualRuntime
8,229.764900,1314343
9,227.747075,1804817
11,240.594459,1412080
14,260.820877,1157844
17,257.468655,1832686
20,268.488066,1265377
25,266.106931,1042244
30,274.501285,1497413
36,277.060445,1093763
44,278.456768,1660660
53,274.633323,1241358
64,280.510896,1796154
78,280.403429,1349969
94,280.983577,1974125
114,281.834102,1458453
138,280.269120,1081241
167,280.870694,1588113
202,281.416771,1164394
244,282.458976,1698499
296,282.882710,1251550
358,282.517811,1837444
432,283.077622,1337708
523,283.460096,1961162
633,281.559003,1448069
765,284.281727,1048504
925,284.503480,1533154
1119,283.623091,1126172
1354,280.234506,1669828
1637,281.175212,1216938
1980,280.439517,1785761
2394,280.094859,1307366
2896,280.420066,1911472
