STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,,,,
CPU type:,Intel Xeon Broadwell EN/EP/EX processor,,,,
CPU clock:,2.194920904 GHz,,,,
TABLE,Region MARKER_NAME,Group 1 Raw,Custom,6,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],1.037449,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
Runtime (RDTSC) [s],TSC,1.037449e+00,,,
MEM_UOPS_RETIRED_LOADS_ALL,PMC1,1919107000,,,
MEM_LOAD_UOPS_RETIRED_L1_HIT,PMC2,1918041000,,,
INSTR_RETIRED_ANY,FIXC0,7698199000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,2266618000,,,
CPU_CLK_UNHALTED_REF,FIXC2,2266623000,,,
TABLE,Region MARKER_NAME,Group 1 Raw STAT,Custom,6,
Event,Counter,Sum,Min,Max,Avg
Runtime (RDTSC) [s] STAT,TSC,1.0374,1.0374,1.0374,1.0374
MEM_UOPS_RETIRED_LOADS_ALL STAT,PMC1,1919107000,1919107000,1919107000,1919107000
MEM_LOAD_UOPS_RETIRED_L1_HIT STAT,PMC2,1918041000,1918041000,1918041000,1918041000
INSTR_RETIRED_ANY STAT,FIXC0,7698199000,7698199000,7698199000,7698199000
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2266618000,2266618000,2266618000,2266618000
CPU_CLK_UNHALTED_REF STAT,FIXC2,2266623000,2266623000,2266623000,2266623000
