EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,1129.600178,1871512
299,1118.401456,1292216
350,1151.490564,1723130
409,1122.235121,1209191
478,1103.901245,1681410
559,1138.864133,1115831
654,1171.243734,1486647
765,1145.120331,1041185
895,1096.689369,1489187
1047,960.742040,1163927
1224,910.142311,1680092
1432,650.575955,1609326
1674,583.486002,1226541
1958,558.302210,1754318
2290,584.497184,1146409
2678,573.695237,1597721
3132,564.058331,1111590
3662,586.662324,1461349
4283,584.937819,1002607
5009,575.593137,1393765
5857,570.653150,1922346
6850,582.296964,1288555
8011,527.474639,1945696
9368,486.611917,1442167
10955,487.590169,1968345
12811,473.686967,1385476
14982,481.996631,1862257
17521,483.217892,1270298
20489,486.718045,1724683
23961,472.272626,1215471
28021,476.493129,1647588
32768,467.839110,2294829
