EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,697.162060,1516190
299,736.837191,1961378
350,774.672817,1280649
409,802.815011,1690298
478,834.501052,1112108
559,892.935875,1423148
654,933.361985,1865542
765,943.183561,1264104
895,953.872435,1712153
1047,856.926010,1304936
1224,855.139015,1788157
1432,465.198927,1125313
1674,577.432228,1239400
1958,561.576626,1744089
2290,577.554891,1160189
2678,572.375820,1601404
3132,552.542128,1134758
3662,579.104849,1480420
4283,580.780397,1009784
5009,578.111706,1387693
5857,574.204692,1910456
6850,584.117919,1284538
8011,529.469577,1938365
9368,484.834508,1447454
10955,490.172587,1957975
12811,546.905705,1199991
14982,654.430815,1371576
17521,768.379982,1597727
20489,909.421606,1846084
23961,1055.668887,1087526
28021,1229.879969,1276652
32768,1415.523342,1516910
