EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,1000.263207,1056752
299,994.944960,1452559
350,1054.039347,1882442
409,984.693034,1378091
478,996.822063,1862028
559,1031.454590,1232027
654,1075.335333,1619240
765,1043.464280,1142619
895,1016.668048,1606400
1047,894.711424,1249826
1224,943.654244,1620427
1432,705.850056,1483302
1674,589.119554,1214812
1958,580.577244,1687010
2290,583.340587,1148682
2678,554.173009,1654005
3132,537.556038,1166393
3662,559.636169,1531921
4283,564.960905,1038059
5009,575.157363,1394821
5857,572.491822,1916172
6850,563.262688,1332099
8011,560.344895,1831560
9368,547.627320,1281484
10955,568.546807,1688068
12811,547.548166,1198583
14982,550.864744,1629441
17521,541.003532,1134615
20489,554.619851,1513531
23961,562.713572,1020117
28021,564.862369,1389833
32768,535.903987,2003364
